,File,Participant,ndarray,Segment,State
417,NonOverlap20080514TT_Segment_1_wake.mat,20080514TT,"[[ 1.         -0.11487024  0.19411221 ...  0.39775133  0.3344871
   0.22046243]
 [-0.11487024  1.          0.12740602 ... -0.47220728 -0.0394149
  -0.0714628 ]
 [ 0.19411221  0.12740602  1.         ...  0.04934555  0.23659328
  -0.08199552]
 ...
 [ 0.39775133 -0.47220728  0.04934555 ...  1.          0.10119472
   0.04599395]
 [ 0.3344871  -0.0394149   0.23659328 ...  0.10119472  1.
   0.33418685]
 [ 0.22046243 -0.0714628  -0.08199552 ...  0.04599395  0.33418685
   1.        ]]",1,Wake
418,NonOverlap20080514TT_Segment_2_wake.mat,20080514TT,"[[ 1.0000000e+00  8.0087513e-04  2.3405556e-01 ... -1.5333040e-01
   1.1337318e-01  1.1868401e-01]
 [ 8.0087513e-04  1.0000000e+00  2.4885458e-01 ...  3.6848629e-01
   3.9700967e-01  3.5932311e-03]
 [ 2.3405556e-01  2.4885458e-01  1.0000000e+00 ...  5.4466474e-01
   6.7995143e-01 -7.2696120e-02]
 ...
 [-1.5333040e-01  3.6848629e-01  5.4466474e-01 ...  1.0000000e+00
   2.6651469e-01  6.0161777e-02]
 [ 1.1337318e-01  3.9700967e-01  6.7995143e-01 ...  2.6651469e-01
   1.0000000e+00 -3.4311521e-01]
 [ 1.1868401e-01  3.5932311e-03 -7.2696120e-02 ...  6.0161777e-02
  -3.4311521e-01  1.0000000e+00]]",2,Wake
419,NonOverlap20080514TT_Segment_3_wake.mat,20080514TT,"[[ 1.         -0.27827585 -0.3735318  ...  0.10837242 -0.20334154
  -0.22484723]
 [-0.27827585  1.          0.34907788 ...  0.25878105 -0.20901081
   0.30930752]
 [-0.3735318   0.34907788  1.         ...  0.08959998  0.07374983
   0.11074415]
 ...
 [ 0.10837242  0.25878105  0.08959998 ...  1.         -0.48169106
  -0.03390333]
 [-0.20334154 -0.20901081  0.07374983 ... -0.48169106  1.
   0.30915946]
 [-0.22484723  0.30930752  0.11074415 ... -0.03390333  0.30915946
   1.        ]]",3,Wake
420,NonOverlap20080514TT_Segment_4_wake.mat,20080514TT,"[[ 1.         -0.28755593 -0.1081242  ... -0.23471165 -0.10179679
  -0.21836641]
 [-0.28755593  1.          0.16343072 ...  0.559669    0.47204936
   0.10732931]
 [-0.1081242   0.16343072  1.         ...  0.29952118  0.20097047
   0.21644369]
 ...
 [-0.23471165  0.559669    0.29952118 ...  1.          0.39176464
   0.28592387]
 [-0.10179679  0.47204936  0.20097047 ...  0.39176464  1.
  -0.0931663 ]
 [-0.21836641  0.10732931  0.21644369 ...  0.28592387 -0.0931663
   1.        ]]",4,Wake
421,NonOverlap20080514TT_Segment_5_wake.mat,20080514TT,"[[ 1.          0.28990528  0.21411303 ... -0.3361578   0.24436226
  -0.25569588]
 [ 0.28990528  1.          0.1452546  ...  0.17095609  0.5261741
  -0.00814099]
 [ 0.21411303  0.1452546   1.         ... -0.22877428  0.34425086
   0.10348991]
 ...
 [-0.3361578   0.17095609 -0.22877428 ...  1.          0.19361554
   0.59940624]
 [ 0.24436226  0.5261741   0.34425086 ...  0.19361554  1.
   0.31617308]
 [-0.25569588 -0.00814099  0.10348991 ...  0.59940624  0.31617308
   1.        ]]",5,Wake
422,NonOverlap20080514TT_Segment_6_wake.mat,20080514TT,"[[ 1.          0.27850273 -0.1915048  ... -0.50556445  0.45744464
   0.05990079]
 [ 0.27850273  1.          0.00247589 ... -0.06553273  0.07522441
   0.13105756]
 [-0.1915048   0.00247589  1.         ...  0.02327457 -0.25712046
  -0.517874  ]
 ...
 [-0.50556445 -0.06553273  0.02327457 ...  1.          0.00830659
   0.07305732]
 [ 0.45744464  0.07522441 -0.25712046 ...  0.00830659  1.
   0.2697206 ]
 [ 0.05990079  0.13105756 -0.517874   ...  0.07305732  0.2697206
   1.        ]]",6,Wake
423,NonOverlap20080514TT_Segment_7_wake.mat,20080514TT,"[[ 1.          0.23125353  0.15723322 ... -0.35601646 -0.24532475
   0.1730269 ]
 [ 0.23125353  1.         -0.05135649 ... -0.18296316 -0.14082992
   0.2117658 ]
 [ 0.15723322 -0.05135649  1.         ...  0.09943774  0.15657887
  -0.10499281]
 ...
 [-0.35601646 -0.18296316  0.09943774 ...  1.          0.48670274
  -0.20652014]
 [-0.24532475 -0.14082992  0.15657887 ...  0.48670274  1.
  -0.26912957]
 [ 0.1730269   0.2117658  -0.10499281 ... -0.20652014 -0.26912957
   1.        ]]",7,Wake
424,NonOverlap20080514TT_Segment_8_wake.mat,20080514TT,"[[ 1.         -0.29189125 -0.02620777 ... -0.31939614 -0.20959337
  -0.09819889]
 [-0.29189125  1.         -0.05787588 ...  0.03599288  0.20634924
   0.27001536]
 [-0.02620777 -0.05787588  1.         ...  0.52805537 -0.29250008
  -0.5227075 ]
 ...
 [-0.31939614  0.03599288  0.52805537 ...  1.         -0.05129983
  -0.49579284]
 [-0.20959337  0.20634924 -0.29250008 ... -0.05129983  1.
   0.44750357]
 [-0.09819889  0.27001536 -0.5227075  ... -0.49579284  0.44750357
   1.        ]]",8,Wake
425,NonOverlap20080514TT_Segment_9_wake.mat,20080514TT,"[[ 1.         -0.02484143 -0.02139489 ...  0.09949847  0.2874566
  -0.10615522]
 [-0.02484143  1.          0.30185655 ...  0.15873031 -0.08655088
  -0.11527483]
 [-0.02139489  0.30185655  1.         ...  0.0646815   0.0898908
  -0.04166727]
 ...
 [ 0.09949847  0.15873031  0.0646815  ...  1.          0.11084873
  -0.02652009]
 [ 0.2874566  -0.08655088  0.0898908  ...  0.11084873  1.
   0.23937273]
 [-0.10615522 -0.11527483 -0.04166727 ... -0.02652009  0.23937273
   1.        ]]",9,Wake
426,NonOverlap20080514TT_Segment_10_wake.mat,20080514TT,"[[ 1.         -0.17029628 -0.14396062 ...  0.32254294 -0.14012812
   0.2197698 ]
 [-0.17029628  1.          0.2977156  ... -0.3201306  -0.22481526
  -0.17424144]
 [-0.14396062  0.2977156   1.         ...  0.2646223  -0.07936008
  -0.02588999]
 ...
 [ 0.32254294 -0.3201306   0.2646223  ...  1.          0.1117279
   0.26461178]
 [-0.14012812 -0.22481526 -0.07936008 ...  0.1117279   1.
   0.11343417]
 [ 0.2197698  -0.17424144 -0.02588999 ...  0.26461178  0.11343417
   1.        ]]",10,Wake
427,NonOverlap20080514TT_Segment_11_wake.mat,20080514TT,"[[ 1.         -0.32859462  0.06341274 ... -0.08581892 -0.12215731
  -0.04446294]
 [-0.32859462  1.          0.21470326 ...  0.16751684  0.02967098
   0.00318607]
 [ 0.06341274  0.21470326  1.         ... -0.00510039  0.23792747
   0.30899882]
 ...
 [-0.08581892  0.16751684 -0.00510039 ...  1.          0.32433838
  -0.13770618]
 [-0.12215731  0.02967098  0.23792747 ...  0.32433838  1.
   0.1824987 ]
 [-0.04446294  0.00318607  0.30899882 ... -0.13770618  0.1824987
   1.        ]]",11,Wake
428,NonOverlap20080514TT_Segment_12_wake.mat,20080514TT,"[[ 1.         -0.09177755 -0.36336777 ...  0.24821398  0.19207777
   0.48150092]
 [-0.09177755  1.          0.18811774 ...  0.00582373  0.16160375
   0.01578505]
 [-0.36336777  0.18811774  1.         ... -0.1277549  -0.15814096
   0.05612685]
 ...
 [ 0.24821398  0.00582373 -0.1277549  ...  1.          0.15047058
   0.10275947]
 [ 0.19207777  0.16160375 -0.15814096 ...  0.15047058  1.
  -0.08490922]
 [ 0.48150092  0.01578505  0.05612685 ...  0.10275947 -0.08490922
   1.        ]]",12,Wake
429,NonOverlap20080519MH_Segment_1_wake.mat,20080519MH,"[[ 1.         -0.53273743 -0.27464497 ... -0.09334454 -0.44738495
  -0.19619338]
 [-0.53273743  1.         -0.09153857 ...  0.03844086  0.03501561
  -0.00346256]
 [-0.27464497 -0.09153857  1.         ...  0.39365777  0.2868824
  -0.037042  ]
 ...
 [-0.09334454  0.03844086  0.39365777 ...  1.          0.17653027
   0.20890166]
 [-0.44738495  0.03501561  0.2868824  ...  0.17653027  1.
   0.3661312 ]
 [-0.19619338 -0.00346256 -0.037042   ...  0.20890166  0.3661312
   1.        ]]",1,Wake
430,NonOverlap20080519MH_Segment_2_wake.mat,20080519MH,"[[ 1.          0.4041716  -0.26405632 ...  0.18075733 -0.32062635
  -0.48825878]
 [ 0.4041716   1.         -0.15256841 ... -0.14891738 -0.0616026
  -0.25623956]
 [-0.26405632 -0.15256841  1.         ...  0.18880393 -0.0593804
  -0.01509242]
 ...
 [ 0.18075733 -0.14891738  0.18880393 ...  1.          0.04818309
   0.0039597 ]
 [-0.32062635 -0.0616026  -0.0593804  ...  0.04818309  1.
   0.3420598 ]
 [-0.48825878 -0.25623956 -0.01509242 ...  0.0039597   0.3420598
   1.        ]]",2,Wake
431,NonOverlap20080519MH_Segment_3_wake.mat,20080519MH,"[[ 1.          0.25711682 -0.0146181  ... -0.2828067  -0.2692018
  -0.5237867 ]
 [ 0.25711682  1.         -0.3085729  ... -0.35500818  0.03120995
  -0.01232397]
 [-0.0146181  -0.3085729   1.         ...  0.28619155  0.14293958
  -0.00968196]
 ...
 [-0.2828067  -0.35500818  0.28619155 ...  1.          0.07580489
   0.45607108]
 [-0.2692018   0.03120995  0.14293958 ...  0.07580489  1.
   0.17029527]
 [-0.5237867  -0.01232397 -0.00968196 ...  0.45607108  0.17029527
   1.        ]]",3,Wake
432,NonOverlap20080519MH_Segment_4_wake.mat,20080519MH,"[[ 1.         -0.28839827 -0.4539641  ... -0.3574835   0.12207118
   0.23006956]
 [-0.28839827  1.          0.12470371 ...  0.4301127   0.21279307
   0.23251411]
 [-0.4539641   0.12470371  1.         ...  0.07683452 -0.05834942
  -0.35565934]
 ...
 [-0.3574835   0.4301127   0.07683452 ...  1.          0.13857543
  -0.05308597]
 [ 0.12207118  0.21279307 -0.05834942 ...  0.13857543  1.
   0.41018057]
 [ 0.23006956  0.23251411 -0.35565934 ... -0.05308597  0.41018057
   1.        ]]",4,Wake
433,NonOverlap20080519MH_Segment_5_wake.mat,20080519MH,"[[ 1.         -0.09537636 -0.39877337 ...  0.24972111 -0.06459039
   0.13054788]
 [-0.09537636  1.         -0.20912497 ... -0.07987352 -0.15065894
   0.14500509]
 [-0.39877337 -0.20912497  1.         ...  0.09273627  0.24682276
  -0.00597393]
 ...
 [ 0.24972111 -0.07987352  0.09273627 ...  1.         -0.10391644
   0.37116963]
 [-0.06459039 -0.15065894  0.24682276 ... -0.10391644  1.
   0.30820817]
 [ 0.13054788  0.14500509 -0.00597393 ...  0.37116963  0.30820817
   1.        ]]",5,Wake
434,NonOverlap20080519MH_Segment_6_wake.mat,20080519MH,"[[ 1.         -0.16120666  0.03882853 ...  0.32135737  0.22133642
   0.39897296]
 [-0.16120666  1.          0.00190566 ...  0.2307893  -0.34005743
  -0.09409422]
 [ 0.03882853  0.00190566  1.         ...  0.03587123  0.04343104
  -0.0615324 ]
 ...
 [ 0.32135737  0.2307893   0.03587123 ...  1.          0.12447383
   0.43908733]
 [ 0.22133642 -0.34005743  0.04343104 ...  0.12447383  1.
   0.4812513 ]
 [ 0.39897296 -0.09409422 -0.0615324  ...  0.43908733  0.4812513
   1.        ]]",6,Wake
435,NonOverlap20080519MH_Segment_7_wake.mat,20080519MH,"[[ 1.         -0.0016635  -0.02929498 ... -0.08840184 -0.3878145
  -0.09926025]
 [-0.0016635   1.          0.09183852 ... -0.15758038  0.1724398
  -0.1191618 ]
 [-0.02929498  0.09183852  1.         ...  0.29864493 -0.06276902
   0.2631225 ]
 ...
 [-0.08840184 -0.15758038  0.29864493 ...  1.          0.05937729
  -0.16208231]
 [-0.3878145   0.1724398  -0.06276902 ...  0.05937729  1.
  -0.26850897]
 [-0.09926025 -0.1191618   0.2631225  ... -0.16208231 -0.26850897
   1.        ]]",7,Wake
436,NonOverlap20080519MH_Segment_8_wake.mat,20080519MH,"[[ 1.         -0.4120978  -0.17785308 ...  0.27524963  0.634216
   0.3307364 ]
 [-0.4120978   1.          0.01335368 ... -0.2432785  -0.47926712
  -0.18014196]
 [-0.17785308  0.01335368  1.         ... -0.35314983 -0.05141399
   0.17504928]
 ...
 [ 0.27524963 -0.2432785  -0.35314983 ...  1.          0.17742708
  -0.20190148]
 [ 0.634216   -0.47926712 -0.05141399 ...  0.17742708  1.
   0.31205755]
 [ 0.3307364  -0.18014196  0.17504928 ... -0.20190148  0.31205755
   1.        ]]",8,Wake
437,NonOverlap20080519MH_Segment_9_wake.mat,20080519MH,"[[ 1.          0.01318193 -0.5523623  ... -0.2177872   0.03512077
   0.16201405]
 [ 0.01318193  1.         -0.05142105 ...  0.23059006 -0.27297962
   0.09758447]
 [-0.5523623  -0.05142105  1.         ...  0.0906172   0.0971083
  -0.29934224]
 ...
 [-0.2177872   0.23059006  0.0906172  ...  1.          0.08170052
   0.07116258]
 [ 0.03512077 -0.27297962  0.0971083  ...  0.08170052  1.
  -0.06113481]
 [ 0.16201405  0.09758447 -0.29934224 ...  0.07116258 -0.06113481
   1.        ]]",9,Wake
438,NonOverlap20080519MH_Segment_10_wake.mat,20080519MH,"[[ 1.         -0.37824184 -0.30082133 ...  0.3841896   0.07677193
  -0.3658669 ]
 [-0.37824184  1.          0.0865303  ... -0.31096354 -0.42043975
   0.25530916]
 [-0.30082133  0.0865303   1.         ... -0.14858177 -0.38394845
   0.2454285 ]
 ...
 [ 0.3841896  -0.31096354 -0.14858177 ...  1.         -0.00699768
  -0.30745336]
 [ 0.07677193 -0.42043975 -0.38394845 ... -0.00699768  1.
   0.22674724]
 [-0.3658669   0.25530916  0.2454285  ... -0.30745336  0.22674724
   1.        ]]",10,Wake
439,NonOverlap20080519MH_Segment_11_wake.mat,20080519MH,"[[ 1.         -0.25396603 -0.20242606 ... -0.21988449 -0.05215983
  -0.16867632]
 [-0.25396603  1.         -0.08435133 ...  0.14232036  0.0022034
   0.03550177]
 [-0.20242606 -0.08435133  1.         ... -0.13321303 -0.10418571
  -0.4728968 ]
 ...
 [-0.21988449  0.14232036 -0.13321303 ...  1.          0.31211704
   0.25244793]
 [-0.05215983  0.0022034  -0.10418571 ...  0.31211704  1.
   0.14068408]
 [-0.16867632  0.03550177 -0.4728968  ...  0.25244793  0.14068408
   1.        ]]",11,Wake
440,NonOverlap20080519MH_Segment_12_wake.mat,20080519MH,"[[ 1.         -0.30966127 -0.05170615 ...  0.1470803  -0.52975523
   0.04830228]
 [-0.30966127  1.         -0.0684172  ...  0.4273075  -0.079913
  -0.08585256]
 [-0.05170615 -0.0684172   1.         ...  0.02409868 -0.10487282
   0.3212037 ]
 ...
 [ 0.1470803   0.4273075   0.02409868 ...  1.         -0.2733826
   0.36482915]
 [-0.52975523 -0.079913   -0.10487282 ... -0.2733826   1.
   0.01544808]
 [ 0.04830228 -0.08585256  0.3212037  ...  0.36482915  0.01544808
   1.        ]]",12,Wake
441,NonOverlap20080519MH_Segment_13_wake.mat,20080519MH,"[[ 1.          0.02457193 -0.29950044 ... -0.29250467 -0.27359307
  -0.48766226]
 [ 0.02457193  1.          0.38531306 ...  0.08068719  0.0719633
  -0.0979011 ]
 [-0.29950044  0.38531306  1.         ...  0.13836183  0.25585502
   0.1650931 ]
 ...
 [-0.29250467  0.08068719  0.13836183 ...  1.          0.02815196
  -0.1802578 ]
 [-0.27359307  0.0719633   0.25585502 ...  0.02815196  1.
   0.24843909]
 [-0.48766226 -0.0979011   0.1650931  ... -0.1802578   0.24843909
   1.        ]]",13,Wake
442,NonOverlap20080519MH_Segment_14_wake.mat,20080519MH,"[[ 1.         -0.17163306 -0.47382563 ... -0.3666826   0.06386617
  -0.13749957]
 [-0.17163306  1.         -0.08859977 ... -0.05289111  0.1702756
   0.2736    ]
 [-0.47382563 -0.08859977  1.         ...  0.3328247  -0.0945953
  -0.15625632]
 ...
 [-0.3666826  -0.05289111  0.3328247  ...  1.          0.13107392
   0.38208288]
 [ 0.06386617  0.1702756  -0.0945953  ...  0.13107392  1.
   0.13834393]
 [-0.13749957  0.2736     -0.15625632 ...  0.38208288  0.13834393
   1.        ]]",14,Wake
443,NonOverlap20080519MH_Segment_15_wake.mat,20080519MH,"[[ 1.0000000e+00 -3.7220538e-01 -5.4607546e-01 ...  4.5672774e-02
  -6.0338251e-02 -3.3442226e-01]
 [-3.7220538e-01  1.0000000e+00  3.7661567e-01 ...  4.8866287e-02
  -2.9903415e-01 -2.9323310e-01]
 [-5.4607546e-01  3.7661567e-01  1.0000000e+00 ... -9.5546292e-04
   4.8165423e-01  4.0904453e-01]
 ...
 [ 4.5672774e-02  4.8866287e-02 -9.5546292e-04 ...  1.0000000e+00
  -7.6245777e-02  2.3096868e-01]
 [-6.0338251e-02 -2.9903415e-01  4.8165423e-01 ... -7.6245777e-02
   1.0000000e+00  3.6309934e-01]
 [-3.3442226e-01 -2.9323310e-01  4.0904453e-01 ...  2.3096868e-01
   3.6309934e-01  1.0000000e+00]]",15,Wake
444,NonOverlap20080519MH_Segment_16_wake.mat,20080519MH,"[[ 1.         -0.3171281  -0.250739   ...  0.1758218  -0.17066899
   0.1040013 ]
 [-0.3171281   1.          0.37948245 ...  0.14539465 -0.4896736
  -0.24854714]
 [-0.250739    0.37948245  1.         ...  0.03329466 -0.06368963
  -0.24383628]
 ...
 [ 0.1758218   0.14539465  0.03329466 ...  1.         -0.26682386
   0.14350937]
 [-0.17066899 -0.4896736  -0.06368963 ... -0.26682386  1.
   0.0818443 ]
 [ 0.1040013  -0.24854714 -0.24383628 ...  0.14350937  0.0818443
   1.        ]]",16,Wake
445,NonOverlap20080519MH_Segment_17_wake.mat,20080519MH,"[[ 1.         -0.28057554 -0.11160453 ...  0.13910693  0.04890181
  -0.1405539 ]
 [-0.28057554  1.          0.34460926 ...  0.11780232  0.2229982
   0.13405454]
 [-0.11160453  0.34460926  1.         ... -0.30438057 -0.3652953
   0.21534258]
 ...
 [ 0.13910693  0.11780232 -0.30438057 ...  1.          0.23711814
  -0.33478588]
 [ 0.04890181  0.2229982  -0.3652953  ...  0.23711814  1.
   0.20339958]
 [-0.1405539   0.13405454  0.21534258 ... -0.33478588  0.20339958
   1.        ]]",17,Wake
